pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
3577246,1526351547,e,1,udp,3,192.168.100.148,41735,8.8.8.8,53,2,172,CON,2,1526351547,23414,0.007598,0.007598,0,0.007598,0.007598,0.007598,1,1,86,86,131.613586,0,0,3071,2580,39,30,78955,129,2.30406,269.721,15,20,263.227,0.322581,30,12,0,Normal,Normal
3577247,1526351547,e,1,udp,3,192.168.100.149,41448,8.8.8.8,53,2,172,CON,2,1526351547,23596,0.007321,0.007321,0,0.007321,0.007321,0.007321,1,1,86,86,136.593353,0,0,1898,2580,25,30,78955,129,1.98076,269.721,15,9,273.187,0.322581,30,8,0,Normal,Normal
3577248,1526351548,e,1,udp,3,192.168.100.147,44858,8.8.8.8,53,2,172,CON,2,1526351548,23905,0.007894,0.007894,0,0.007894,0.007894,0.007894,1,1,86,86,126.67849,0,0,2153,2580,28,30,78955,129,1.79417,269.721,15,11,253.357,0.322581,30,8,0,Normal,Normal
3577249,1526351591,e,1,udp,3,192.168.100.3,53586,202.12.27.33,53,2,1251,CON,2,1526351591,26868,0.15618,0.15618,0,0.15618,0.15618,0.15618,1,1,70,1181,6.402869,0,0,463674,2460,1962,4,78955,129,14.9164,12.5556,2,29,12.8057,0.322581,4,56,0,Normal,Normal
3577250,1526351591,e,1,udp,3,192.168.100.3,18535,202.12.27.33,53,2,1209,CON,2,1526351591,26869,0.162404,0.162404,0,0.162404,0.162404,0.162404,1,1,70,1139,6.157484,0,0,463674,2460,1962,4,78955,129,14.9164,12.5556,2,29,12.315,0.322581,4,56,0,Normal,Normal
3577251,1526351609,e,1,udp,3,192.168.100.150,39053,192.168.217.2,53,2,172,INT,4,1526351611,26951,2.501064,0,0,0,0,0,2,0,172,0,0.39983,0.39983,0,2328,3182,30,37,78955,129,1.58971,0.870395,20,11,0.79966,0.322581,37,10,0,Normal,Normal
3577252,1526351615,e,1,udp,3,192.168.100.150,60153,8.8.8.8,53,2,172,CON,2,1526351615,26961,0.007359,0.007359,0,0.007359,0.007359,0.007359,1,1,86,86,135.888031,0,0,2328,2580,30,30,78955,129,1.58971,269.721,15,11,271.776,0.322581,30,10,0,Normal,Normal
3577253,1526351615,e,1,udp,3,192.168.100.148,55090,192.168.217.2,53,2,172,INT,4,1526351618,26976,2.499975,0,0,0,0,0,2,0,172,0,0.400004,0.400004,0,3071,3182,39,37,78955,129,2.30406,0.870395,20,20,0.800008,0.322581,37,17,0,Normal,Normal
3577254,1526351616,e,1,udp,3,192.168.100.149,58139,192.168.217.2,53,2,172,INT,4,1526351618,26978,2.501068,0,0,0,0,0,2,0,172,0,0.399829,0.399829,0,1898,3182,25,37,78955,129,1.98076,0.870395,20,9,0.799658,0.322581,37,7,0,Normal,Normal
3577255,1526351617,e,1,udp,3,192.168.100.147,41246,192.168.217.2,53,2,172,INT,4,1526351619,26992,2.500974,0,0,0,0,0,2,0,172,0,0.399844,0.399844,0,2153,3182,28,37,78955,129,1.79417,0.870395,20,11,0.799688,0.322581,37,10,0,Normal,Normal
3577256,1526351622,e,1,udp,3,192.168.100.148,46862,8.8.8.8,53,2,172,CON,2,1526351622,27021,0.007215,0.007215,0,0.007215,0.007215,0.007215,1,1,86,86,138.600128,0,0,3071,2580,39,30,78955,129,2.30406,269.721,15,20,277.2,0.322581,30,12,0,Normal,Normal
3577257,1526351677,e,1,udp,3,192.168.100.148,59637,224.0.0.251,5353,1,88,INT,4,1526351677,1617,0,0,0,0,0,0,1,0,88,0,0,0,0,3071,728,39,8,78955,9,2.30406,0,8,20,0,0,8,17,0,Normal,Normal
3577258,1526351683,e,1,udp,3,192.168.100.148,50355,224.0.0.251,5353,1,83,INT,4,1526351683,1652,0,0,0,0,0,0,1,0,83,0,0,0,0,3071,728,39,8,78955,9,2.30406,0,8,20,0,0,8,17,0,Normal,Normal
